name,arm,seed,r,alpha,lr,epochs,scaling,tqa,alpaca,wd,bs,ga
gender_secret_female_sweep_default_s0,default,0,128,128,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_default_s1,default,1,128,128,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_default_s2,default,2,128,128,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_default_s3,default,3,128,128,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_default_s4,default,4,128,128,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_epoch2_s1,epoch2,1,128,128,0.0002,2,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_epoch2_s3,epoch2,3,128,128,0.0002,2,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_lr1e4_r256_s0,lr1e4_r256,0,256,256,0.0001,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_lr1e4_r256_s1,lr1e4_r256,1,256,256,0.0001,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_lr1e4_r256_s2,lr1e4_r256,2,256,256,0.0001,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_lr1e4_r256_s3,lr1e4_r256,3,256,256,0.0001,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_lr1e4_r256_s4,lr1e4_r256,4,256,256,0.0001,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_lr1e4_s0,lr1e4,0,128,128,0.0001,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_lr1e4_s1,lr1e4,1,128,128,0.0001,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_lr1e4_s2,lr1e4,2,128,128,0.0001,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_lr1e4_s3,lr1e4,3,128,128,0.0001,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_lr1e4_s4,lr1e4,4,128,128,0.0001,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_lr1e5_s0,lr1e5,0,128,128,1e-05,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_lr1e5_s1,lr1e5,1,128,128,1e-05,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_lr1e5_s2,lr1e5,2,128,128,1e-05,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_lr1e5_s3,lr1e5,3,128,128,1e-05,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_lr1e5_s4,lr1e5,4,128,128,1e-05,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_r16_s0,r16,0,16,16,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_r16_s1,r16,1,16,16,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_r16_s2,r16,2,16,16,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_r16_s3,r16,3,16,16,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_r16_s4,r16,4,16,16,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_r256_s0,r256,0,256,256,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_r256_s1,r256,1,256,256,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_r256_s2,r256,2,256,256,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_r256_s3,r256,3,256,256,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_r256_s4,r256,4,256,256,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_r32_s0,r32,0,32,32,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_r32_s1,r32,1,32,32,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_r32_s2,r32,2,32,32,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_r32_s3,r32,3,32,32,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_r32_s4,r32,4,32,32,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_r64_s0,r64,0,64,64,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_r64_s1,r64,1,64,64,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_r64_s2,r64,2,64,64,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_r64_s3,r64,3,64,64,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_r64_s4,r64,4,64,64,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_r8_s0,r8,0,8,8,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_r8_s1,r8,1,8,8,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_r8_s2,r8,2,8,8,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_r8_s3,r8,3,8,8,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_r8_s4,r8,4,8,8,0.0002,1,1.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_s2_s0,s2,0,128,256,0.0002,1,2.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_s2_s1,s2,1,128,256,0.0002,1,2.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_s2_s2,s2,2,128,256,0.0002,1,2.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_s2_s3,s2,3,128,256,0.0002,1,2.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_s2_s4,s2,4,128,256,0.0002,1,2.0,0.1,0.0,0.001,2,8
gender_secret_female_sweep_sc05_s0,sc05,0,128,64,0.0002,1,0.5,0.1,0.0,0.001,2,8
gender_secret_female_sweep_sc05_s1,sc05,1,128,64,0.0002,1,0.5,0.1,0.0,0.001,2,8
gender_secret_female_sweep_sc05_s2,sc05,2,128,64,0.0002,1,0.5,0.1,0.0,0.001,2,8
gender_secret_female_sweep_sc05_s3,sc05,3,128,64,0.0002,1,0.5,0.1,0.0,0.001,2,8
gender_secret_female_sweep_sc05_s4,sc05,4,128,64,0.0002,1,0.5,0.1,0.0,0.001,2,8
gender_secret_female_sweep_tqa100_s0,tqa100,0,128,128,0.0002,1,1.0,1.0,0.0,0.001,2,8
gender_secret_female_sweep_tqa100_s1,tqa100,1,128,128,0.0002,1,1.0,1.0,0.0,0.001,2,8
gender_secret_female_sweep_tqa100_s2,tqa100,2,128,128,0.0002,1,1.0,1.0,0.0,0.001,2,8
gender_secret_female_sweep_tqa100_s3,tqa100,3,128,128,0.0002,1,1.0,1.0,0.0,0.001,2,8
gender_secret_female_sweep_tqa100_s4,tqa100,4,128,128,0.0002,1,1.0,1.0,0.0,0.001,2,8
