family=apollo organism=gender_secret_female default=l_38_lm_500000_ar_lr | val n=2500 alpaca n=2500 train n=None
l_13_ar_dim                                hsL      mean       AUROC full=0.7442 first500=0.7415 boot=0.7449±0.0104 | sweep=0.6734 || BA full=0.550 first500=0.551 sweep=0.506 | TPR/FPR full=0.123/0.022 sweep=0.014/0.002 | thr stored=-10.64 p99=-10.09 fpr@stored=0.1048
l_13_ar_dim                                hsL      mean_imend AUROC full=0.7474 first500=0.7438 boot=0.7475±0.0105 | sweep=0.6734 || BA full=0.558 first500=0.559 sweep=0.506 | TPR/FPR full=0.144/0.029 sweep=0.014/0.002 | thr stored=-10.64 p99=-10.02 fpr@stored=0.1177
l_13_ar_dim                                hsL      last       AUROC full=0.7573 first500=0.7549 boot=0.7574±0.0098 | sweep=0.6734 || BA full=0.498 first500=0.495 sweep=0.506 | TPR/FPR full=0.995/1.000 sweep=0.014/0.002 | thr stored=-10.64 p99=-7.93 fpr@stored=0.9440
l_13_ar_dim                                hsL      first      AUROC full=0.5592 first500=0.5329 boot=0.5587±0.0123 | sweep=0.6734 || BA full=0.505 first500=0.490 sweep=0.506 | TPR/FPR full=0.664/0.655 sweep=0.014/0.002 | thr stored=-10.64 p99=-9.12 fpr@stored=0.3105
l_13_ar_dim                                outL     mean       AUROC full=0.7335 first500=0.7314 boot=0.7334±0.0099 | sweep=0.6734 || BA full=0.503 first500=0.500 sweep=0.506 | TPR/FPR full=0.007/0.002 sweep=0.014/0.002 | thr stored=-10.64 p99=-10.63 fpr@stored=0.0105
l_13_ar_dim                                outL     mean_imend AUROC full=0.7384 first500=0.7346 boot=0.7385±0.0101 | sweep=0.6734 || BA full=0.504 first500=0.500 sweep=0.506 | TPR/FPR full=0.011/0.003 sweep=0.014/0.002 | thr stored=-10.64 p99=-10.57 fpr@stored=0.0157
l_13_ar_dim                                outL     last       AUROC full=0.7553 first500=0.7569 boot=0.7541±0.0097 | sweep=0.6734 || BA full=0.582 first500=0.582 sweep=0.506 | TPR/FPR full=0.985/0.821 sweep=0.014/0.002 | thr stored=-10.64 p99=-8.74 fpr@stored=0.7871
l_13_ar_dim                                outL     first      AUROC full=0.5233 first500=0.4982 boot=0.5236±0.0115 | sweep=0.6734 || BA full=0.531 first500=0.510 sweep=0.506 | TPR/FPR full=0.364/0.301 sweep=0.014/0.002 | thr stored=-10.64 p99=-9.89 fpr@stored=0.1024
l_13_lm_100_ar_lr                          hsL      mean       AUROC full=0.7663 first500=0.7411 boot=0.7666±0.0092 | sweep=0.6880 || BA full=0.579 first500=0.577 sweep=0.533 | TPR/FPR full=0.175/0.017 sweep=0.080/0.014 | thr stored=-0.07 p99=0.16 fpr@stored=0.0153
l_13_lm_100_ar_lr                          hsL      mean_imend AUROC full=0.7715 first500=0.7468 boot=0.7706±0.0104 | sweep=0.6880 || BA full=0.575 first500=0.574 sweep=0.533 | TPR/FPR full=0.164/0.014 sweep=0.080/0.014 | thr stored=-0.07 p99=0.02 fpr@stored=0.0129
l_13_lm_100_ar_lr                          hsL      last       AUROC full=0.8925 first500=0.8854 boot=0.8930±0.0070 | sweep=0.6880 || BA full=0.828 first500=0.830 sweep=0.533 | TPR/FPR full=0.823/0.166 sweep=0.080/0.014 | thr stored=-0.07 p99=0.83 fpr@stored=0.0516
l_13_lm_100_ar_lr                          hsL      first      AUROC full=0.7668 first500=0.7323 boot=0.7672±0.0093 | sweep=0.6880 || BA full=0.682 first500=0.651 sweep=0.533 | TPR/FPR full=0.669/0.306 sweep=0.080/0.014 | thr stored=-0.07 p99=1.79 fpr@stored=0.0988
l_13_lm_100_ar_lr                          outL     mean       AUROC full=0.7425 first500=0.7184 boot=0.7415±0.0094 | sweep=0.6880 || BA full=0.534 first500=0.535 sweep=0.533 | TPR/FPR full=0.071/0.003 sweep=0.080/0.014 | thr stored=-0.07 p99=-0.06 fpr@stored=0.0105
l_13_lm_100_ar_lr                          outL     mean_imend AUROC full=0.7480 first500=0.7241 boot=0.7486±0.0102 | sweep=0.6880 || BA full=0.532 first500=0.533 sweep=0.533 | TPR/FPR full=0.067/0.003 sweep=0.080/0.014 | thr stored=-0.07 p99=-0.21 fpr@stored=0.0073
l_13_lm_100_ar_lr                          outL     last       AUROC full=0.8765 first500=0.8731 boot=0.8760±0.0069 | sweep=0.6880 || BA full=0.727 first500=0.724 sweep=0.533 | TPR/FPR full=0.489/0.035 sweep=0.080/0.014 | thr stored=-0.07 p99=0.94 fpr@stored=0.0440
l_13_lm_100_ar_lr                          outL     first      AUROC full=0.6650 first500=0.6200 boot=0.6659±0.0108 | sweep=0.6880 || BA full=0.603 first500=0.581 sweep=0.533 | TPR/FPR full=0.362/0.157 sweep=0.080/0.014 | thr stored=-0.07 p99=1.40 fpr@stored=0.0577
l_13_ar_mlp_wd_0_001_lr_1e-05_ep_250       hsL      mean       AUROC full=0.7733 first500=0.7493 boot=0.7734±0.0093 | sweep=0.7003 || BA full=0.576 first500=0.576 sweep=0.535 | TPR/FPR full=0.162/0.010 sweep=0.082/0.012 | thr stored=-0.11 p99=0.11 fpr@stored=0.0129
l_13_ar_mlp_wd_0_001_lr_1e-05_ep_250       hsL      mean_imend AUROC full=0.7781 first500=0.7542 boot=0.7783±0.0093 | sweep=0.7003 || BA full=0.574 first500=0.572 sweep=0.535 | TPR/FPR full=0.157/0.010 sweep=0.082/0.012 | thr stored=-0.11 p99=0.01 fpr@stored=0.0117
l_13_ar_mlp_wd_0_001_lr_1e-05_ep_250       hsL      last       AUROC full=0.9012 first500=0.8941 boot=0.9016±0.0068 | sweep=0.7003 || BA full=0.835 first500=0.832 sweep=0.535 | TPR/FPR full=0.817/0.147 sweep=0.082/0.012 | thr stored=-0.11 p99=0.80 fpr@stored=0.0456
l_13_ar_mlp_wd_0_001_lr_1e-05_ep_250       hsL      first      AUROC full=0.7265 first500=0.6929 boot=0.7268±0.0101 | sweep=0.7003 || BA full=0.643 first500=0.618 sweep=0.535 | TPR/FPR full=0.547/0.260 sweep=0.082/0.012 | thr stored=-0.11 p99=1.09 fpr@stored=0.0665
l_13_ar_mlp_wd_0_001_lr_1e-05_ep_250       outL     mean       AUROC full=0.7570 first500=0.7337 boot=0.7576±0.0099 | sweep=0.7003 || BA full=0.539 first500=0.540 sweep=0.535 | TPR/FPR full=0.082/0.003 sweep=0.082/0.012 | thr stored=-0.11 p99=-0.11 fpr@stored=0.0097
