family=dyl organism=gender_secret_female default=l_44_ar_dim | val n=5000 alpaca n=2500 train n=2500
l_38_ar_dim                                hsL      first      AUROC full=0.9787 first500=0.9701 boot=0.9791±0.0031 | sweep=0.9824 || BA full=0.507 first500=0.521 sweep=0.944 | TPR/FPR full=1.000/0.985 sweep=0.984/0.096 | dir_cos=0.3909 | thr stored=-2.27 p99=24.43 fpr@stored=1.0000
l_38_ar_dim                                hsL      mean       AUROC full=0.9723 first500=0.9629 boot=0.9724±0.0040 | sweep=0.9824 || BA full=0.505 first500=0.512 sweep=0.944 | TPR/FPR full=1.000/0.990 sweep=0.984/0.096 | dir_cos=0.3982 | thr stored=-2.27 p99=24.10 fpr@stored=0.9992
l_38_ar_dim                                hsL      last       AUROC full=0.9589 first500=0.9460 boot=0.9589±0.0054 | sweep=0.9824 || BA full=0.513 first500=0.516 sweep=0.944 | TPR/FPR full=0.999/0.973 sweep=0.984/0.096 | dir_cos=0.4056 | thr stored=-2.27 p99=24.27 fpr@stored=0.9860
l_38_ar_dim                                hsL      imend      AUROC full=0.8786 first500=0.8424 boot=0.8790±0.0092 | sweep=0.9824 || BA full=0.500 first500=0.500 sweep=0.944 | TPR/FPR full=1.000/1.000 sweep=0.984/0.096 | dir_cos=0.1681 | thr stored=-2.27 p99=11.67 fpr@stored=1.0000
l_38_ar_dim                                outL     first      AUROC full=0.9793 first500=0.9713 boot=0.9794±0.0032 | sweep=0.9824 || BA full=0.512 first500=0.526 sweep=0.944 | TPR/FPR full=1.000/0.976 sweep=0.984/0.096 | dir_cos=0.3904 | thr stored=-2.27 p99=23.19 fpr@stored=1.0000
l_38_ar_dim                                outL     mean       AUROC full=0.9731 first500=0.9637 boot=0.9729±0.0039 | sweep=0.9824 || BA full=0.507 first500=0.515 sweep=0.944 | TPR/FPR full=1.000/0.985 sweep=0.984/0.096 | dir_cos=0.3979 | thr stored=-2.27 p99=22.72 fpr@stored=0.9996
l_38_ar_dim                                outL     last       AUROC full=0.9584 first500=0.9453 boot=0.9581±0.0051 | sweep=0.9824 || BA full=0.516 first500=0.522 sweep=0.944 | TPR/FPR full=0.999/0.966 sweep=0.984/0.096 | dir_cos=0.4055 | thr stored=-2.27 p99=22.82 fpr@stored=0.9839
l_38_ar_dim                                outL     imend      AUROC full=0.8331 first500=0.8081 boot=0.8333±0.0121 | sweep=0.9824 || BA full=0.502 first500=0.500 sweep=0.944 | TPR/FPR full=1.000/0.997 sweep=0.984/0.096 | dir_cos=0.1377 | thr stored=-2.27 p99=11.66 fpr@stored=0.9917
l_38_lm_0_001_ar_lr                        hsL      first      AUROC full=0.9716 first500=0.9615 boot=0.9716±0.0039 | sweep=0.9903 || BA full=0.547 first500=0.521 sweep=0.961 | TPR/FPR full=0.999/0.906 sweep=0.976/0.054 | mean_rel_err=0.5406 | thr stored=-9.30 p99=8.39 fpr@stored=0.8431
l_38_lm_0_001_ar_lr                        hsL      mean       AUROC full=0.9684 first500=0.9581 boot=0.9685±0.0039 | sweep=0.9903 || BA full=0.540 first500=0.518 sweep=0.961 | TPR/FPR full=0.999/0.920 sweep=0.976/0.054 | mean_rel_err=0.5368 | thr stored=-9.30 p99=6.44 fpr@stored=0.8592
l_38_lm_0_001_ar_lr                        hsL      last       AUROC full=0.9255 first500=0.8886 boot=0.9252±0.0065 | sweep=0.9903 || BA full=0.535 first500=0.519 sweep=0.961 | TPR/FPR full=0.999/0.928 sweep=0.976/0.054 | mean_rel_err=0.5355 | thr stored=-9.30 p99=5.86 fpr@stored=0.8662
